# ID,name,RA,dec,mag
300,,0.062330,-17.335988,4.550
301,,0.062340,42.023522,7.450
302,,0.064342,66.712183,6.310
303,,0.064616,57.378277,8.150
304,,0.064653,22.296047,8.270
305,,0.064819,-28.393812,7.660
306,,0.065007,-57.830500,8.590
307,,0.065329,-42.559484,11.550
308,,0.065582,14.378864,7.090
309,,0.065729,-45.288616,8.540
310,,0.065845,-43.191813,9.580
311,,0.065842,36.970256,8.440
312,,0.065973,61.103636,8.590
313,,0.066077,-48.125185,8.010
314,,0.066110,20.953729,8.290
315,,0.066148,-71.278716,9.620
316,,0.066736,12.145797,7.260
317,,0.066844,-80.395115,7.910
318,,0.067310,-38.594754,9.450
319,,0.067721,62.221950,8.190
320,,0.068090,-16.997642,12.140
321,,0.068863,-25.892663,8.930
322,,0.069009,56.920983,7.650
323,,0.069494,17.436643,8.530
324,,0.069514,49.870181,7.380
325,,0.069593,39.119902,8.560
326,,0.069655,11.264375,8.760
327,,0.069748,-4.926111,9.560
328,,0.069972,-30.134913,7.090
329,,0.070115,-10.141117,9.830
330,,0.070462,62.287664,5.900
331,,0.070635,-26.952385,10.800
332,,0.070733,-34.414716,8.410
333,,0.070868,-17.424890,9.050
334,,0.070923,60.155015,8.790
335,,0.071071,14.081538,8.880
336,,0.071106,65.152987,7.590
337,,0.071128,-25.915452,9.600
338,,0.071156,66.349126,10.660
339,,0.071251,-59.315191,8.550
340,,0.071590,-43.988457,8.110
341,,0.071833,-23.253965,9.440
342,,0.071937,-20.568871,9.600
343,,0.072165,-16.529036,5.780
344,,0.072243,40.109948,10.660
345,,0.072310,-29.268822,6.380
346,,0.072530,-53.909434,8.800
347,,0.072581,54.274591,7.790
348,,0.072638,12.957292,8.600
349,,0.073030,-29.381573,7.770
350,,0.073281,-57.322694,10.370
351,,0.073556,-47.068048,9.800
352,,0.074078,58.068692,10.420
353,,0.074107,-44.567290,11.630
354,,0.074890,51.829292,9.220
355,,0.075033,-10.509523,4.990
356,,0.075040,-6.965379,8.430
357,,0.075148,-72.897321,7.330
358,,0.075960,-76.346492,8.930
359,,0.076313,-76.873574,9.090
360,,0.076367,71.968543,9.260
361,,0.076522,-71.695006,8.730
362,,0.076708,-19.437893,9.180
363,,0.076780,43.551312,8.120
364,,0.076802,-15.889228,9.260
365,,0.076833,-31.169050,8.940
366,,0.076830,42.092530,6.110
367,,0.077041,-81.345318,9.130
368,,0.077075,2.937228,7.900
369,,0.077259,29.722280,9.340
370,,0.077295,-51.583329,7.130
371,,0.077358,-50.035925,10.820
372,,0.077720,-70.404260,7.460
373,,0.077732,-8.184953,8.720
374,,0.077800,34.265124,7.020
375,,0.077840,34.271360,9.080
376,,0.078093,6.522449,8.370
377,,0.078131,-71.436891,5.590
378,,0.078129,14.965233,7.370
379,,0.078304,67.166445,5.680
380,,0.078543,17.069735,8.560
381,,0.079014,51.533838,8.720
382,,0.079208,-32.361045,9.060
383,,0.079259,0.056502,8.820
384,,0.079521,1.536895,8.180
385,,0.079681,38.173668,9.390
386,,0.080263,68.188694,9.100
387,,0.080542,38.786214,8.460
388,,0.080682,6.416652,9.150
389,,0.080784,-29.633039,8.280
390,,0.080783,50.234871,11.670
391,,0.080783,43.970719,8.180
392,,0.081113,30.085850,7.930
393,,0.081222,51.982586,9.210
394,,0.081573,34.659797,6.090
395,,0.081480,-30.256604,8.310
396,,0.081641,-31.996653,7.830
397,,0.081689,52.248933,8.720
398,,0.081937,58.532166,6.610
399,,0.082220,26.648764,6.250
400,,0.082306,23.269629,7.820
401,,0.082281,56.056950,8.660
402,,0.082328,64.781420,8.150
403,,0.082478,-18.178726,8.970
404,,0.082634,51.180643,8.150
405,,0.082644,45.673793,7.470
406,,0.082932,26.725262,8.630
407,,0.082960,-70.212445,8.130
408,,0.083006,57.468738,8.230
409,,0.083072,-70.492483,8.410
410,,0.083662,27.674784,6.470
411,,0.083776,33.360010,9.830
412,,0.083844,66.516790,8.640
413,,0.084057,-36.015121,7.730
414,,0.084150,-59.828121,8.640
415,,0.084255,9.279961,8.940
416,,0.084311,1.037710,8.840
417,,0.084395,-0.503035,6.320
418,,0.085039,61.313970,5.800
419,,0.085236,-42.567868,8.970
420,,0.085427,-52.151741,7.530
421,,0.085785,67.840003,7.410
422,,0.085899,30.329032,7.800
423,,0.086042,-62.845220,8.140
424,,0.086046,45.229029,6.710
425,,0.086103,-43.850831,8.730
426,,0.086109,30.331217,9.370
427,,0.086162,2.397208,8.690
428,,0.086297,45.786567,9.950
429,,0.086186,-32.468672,7.100
430,,0.086804,36.303671,8.090
431,,0.086946,35.571012,6.880
432,,0.087459,3.007405,9.480
433,,0.087587,-27.271708,9.040
434,,0.087579,-49.142141,9.300
435,,0.088278,-67.832590,8.490
436,,0.088300,48.477171,8.300
437,,0.088467,-1.794085,7.950
438,,0.088857,68.884433,7.080
439,,0.088876,-38.857152,6.930
440,,0.088894,-21.315338,8.380
441,,0.088928,-5.707618,4.610
442,,0.089883,-37.357364,8.560
443,,0.089114,-59.814504,8.780
444,,0.089347,-56.955649,7.420
445,,0.089502,8.787809,8.260
446,,0.089490,-79.253751,7.710
447,,0.089511,3.606092,6.910
448,,0.089654,-33.499363,9.160
449,,0.089996,28.543724,8.990
450,,0.090083,16.329006,8.630
451,,0.090383,21.569400,9.900
452,,0.090407,-3.851673,7.590
453,,0.090672,-14.422192,7.390
454,,0.090981,76.291567,11.990
455,,0.091036,-37.302536,7.780
456,,0.091117,-42.887387,7.470
457,,0.091178,-7.665420,6.970
458,,0.091222,-61.225853,8.820
459,,0.091345,22.224492,9.130
460,,0.091402,34.105720,7.860
461,,0.091990,-9.617470,7.130
462,,0.092217,-35.129738,9.450
463,,0.092255,-31.967837,12.040
464,,0.092730,76.285818,8.780
465,,0.093034,53.171694,7.230
466,,0.093108,-47.569351,9.730
467,,0.093265,-61.309873,7.360
468,,0.093404,-51.260491,7.360
469,,0.093600,43.401421,8.470
470,,0.094127,-58.289540,9.370
471,,0.094368,55.709898,6.990
472,,0.094664,45.812081,8.200
473,,0.094680,44.468676,8.360
474,,0.094900,58.313259,8.220
475,,0.094989,13.396266,5.550
476,,0.095266,-29.960635,9.910
477,,0.095291,-22.509776,9.670
478,,0.095343,-15.365483,8.600
479,,0.095346,25.615170,10.070
480,,0.095571,-36.778639,10.150
481,,0.095679,17.840290,7.750
482,,0.095939,81.071471,9.210
483,,0.096109,-19.670247,9.660
484,,0.096520,47.087292,8.470
485,,0.097139,-52.820063,9.370
486,,0.097511,78.738515,9.440
487,,0.097494,-68.551373,9.990
488,,0.097727,2.764325,10.380
489,,0.097924,-41.753068,7.510
490,,0.097998,12.527356,8.910
491,,0.098543,18.235003,7.450
492,,0.098568,-14.432780,9.570
493,,0.098642,-68.811599,8.990
494,,0.098743,18.075868,8.580
495,,0.099091,24.569005,6.900
496,,0.099178,49.622343,7.550
497,,0.099520,44.739381,7.930
498,,0.099707,-54.640628,9.710
499,,0.100011,-48.678759,9.570
500,,0.100038,-39.137585,8.550
501,,0.100149,28.276949,6.620
502,,0.100294,16.452078,7.890
503,,0.100905,24.916600,7.510
504,,0.100942,63.679656,7.360
505,,0.100976,53.276915,8.660
506,,0.101162,-84.098203,8.510
507,,0.101182,40.418530,6.650
508,,0.101436,-31.444326,9.670
509,,0.102232,9.714938,7.800
